"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000198502",52.9378530868219,-0.857182297753137,0.355795859657873,0.000654435540523384,0.00729253153031342
"ENSG00000198561",5272.23263227063,0.2759885254733,0.0900523395629709,0.000607574274769117,0.00689430876319266
"ENSG00000198576",231.205475594426,0.817190875102476,0.252048101497936,7.13157849209054e-05,0.0012449191168558
"ENSG00000198624",617.149972195639,-0.563320073614762,0.18341422611634,0.000154665992794388,0.00233270156712445
"ENSG00000198648",1194.81149803008,-0.311303008081551,0.131404434684018,0.00314002558615431,0.0238126861486276
"ENSG00000198730",3753.06674427797,0.494644941279543,0.114554564611319,1.81718014436974e-06,5.58020209296607e-05
"ENSG00000198740",1332.25128144728,-0.34083234333016,0.123064803894197,0.00090074425691624,0.00938293656642721
"ENSG00000198754",93.6720449209078,-0.581119733686094,0.283927559487006,0.00216013653947446,0.0181210257658405
"ENSG00000198755",12871.2321161643,0.160271121140024,0.0546446622057918,0.00197645136437045,0.0169716930908873
"ENSG00000198780",1423.69266316784,-0.36677954385187,0.1216268747106,0.00037243876201448,0.00464704063078028
"ENSG00000198793",5991.06863944605,0.429870500589879,0.0602632187868428,1.36008862595862e-13,2.43484802102465e-11
"ENSG00000198794",593.165176793261,-0.305404147232779,0.130992415393072,0.00370388309182701,0.0269472307260117
"ENSG00000198804",316161.337231482,0.297779225694217,0.0762207282920703,2.69069122339443e-05,0.000551509767445572
"ENSG00000198814",1151.62396542767,-0.722052685689438,0.11277584989138,9.82333034124199e-12,1.1723900920739e-09
"ENSG00000198843",2573.09545698408,-0.196595667307336,0.073557934131733,0.00334494587120484,0.025032612834256
"ENSG00000198853",380.457829368564,-0.683440295449853,0.141349681944511,9.13906034294479e-08,4.14533982347911e-06
"ENSG00000198890",1467.33437909783,0.335262901710292,0.0815008091935586,7.95405590174873e-06,0.000200076013026349
"ENSG00000198909",1446.96858661348,0.234045891118531,0.088546765765527,0.00280479061184428,0.0219020957847404
"ENSG00000198918",10539.3903414326,0.162078161915914,0.0555873089699518,0.00207455720725309,0.0176049462408672
"ENSG00000198920",990.307615697916,0.32907736558203,0.0902265294113851,5.55328627132431e-05,0.00100918683989034
"ENSG00000198925",1697.54415381097,0.174023685989113,0.0714406269430048,0.0076132488398804,0.0464297853934833
"ENSG00000198944",439.210632917166,-0.576824405136771,0.122868161467113,2.26919113084147e-07,9.2909849999514e-06
"ENSG00000198945",1151.78198649489,-0.494356449528559,0.132177906010885,1.71216257561086e-05,0.000376548716462678
"ENSG00000203546",58.382683877907,-1.01066896057424,0.405977018313371,0.000492705620666346,0.00582659886477391
"ENSG00000203727",568.979981091375,-0.518918004473087,0.129491202713785,5.56928337122871e-06,0.000146896395879368
"ENSG00000203811",193.614083089557,0.556852284380815,0.211629109541895,0.000652185033633141,0.00727783139653746
"ENSG00000203812",897.44287662033,0.55653180827455,0.11545215040764,1.42985534202369e-07,6.18550274950504e-06
"ENSG00000203814",385.872492727308,0.933419823294672,0.199430246686267,1.9195016812389e-07,7.99538967620997e-06
"ENSG00000203875",3230.02976339634,0.199247646331089,0.0711847533270521,0.00225954373034123,0.0187308383715183
"ENSG00000203879",3697.65524118798,-0.334468562354882,0.0893679993826457,3.38635046385503e-05,0.000665718523431687
"ENSG00000204104",881.463819527252,-0.304962647401356,0.135370743432618,0.00432328802757902,0.0304021274250313
"ENSG00000204120",3488.67218453612,0.415375356620904,0.167126032759365,0.00152269341832865,0.0139792061340068
"ENSG00000204131",1239.0409984009,-0.482993194129355,0.206482137456752,0.00147973439204735,0.0137498455822047
"ENSG00000204149",1336.59208546219,0.277320230623543,0.100368887293404,0.00151794992789174,0.0139508800581989
"ENSG00000204217",1516.04577183054,-0.277160112984777,0.110849832168555,0.00290762967602916,0.0225067121380951
"ENSG00000204220",1192.06932222915,-0.338573090311627,0.0909056066412763,3.60192739052408e-05,0.000698309148937088
"ENSG00000204256",32902.3535887987,0.278634366610335,0.0583024503796796,5.20762724785051e-07,1.91340505080411e-05
"ENSG00000204267",1396.76489819787,-0.390157633578608,0.188437395668164,0.00400361502305374,0.0286334636000709
"ENSG00000204272",1042.8957526452,-0.866257118445184,0.0983815967383385,8.1567703257632e-20,3.26814597718912e-17
"ENSG00000204287",29.0489825147726,-0.732580295116818,0.689423151493806,0.00626875247663961,0.0403097312483345
"ENSG00000204335",113.307017113729,-2.14860759286474,0.638588662479705,2.20578365213407e-05,0.000467082632813291
"ENSG00000204388",90950.478285773,0.290501691643893,0.0790365522376795,0.000155254680008283,0.00233270156712445
"ENSG00000204389",106441.481895222,0.243964628780353,0.0740031500154442,0.00034830701851352,0.00445050152433221
"ENSG00000204394",2567.23492079927,0.351676328542113,0.104482889760611,0.000138553976038735,0.00212348479852444
"ENSG00000204396",50.8852228228371,-0.898610175469085,0.595360267568624,0.00307954416495083,0.0234097734711528
"ENSG00000204439",566.572684923104,0.297954102463548,0.10973168667242,0.00145734094447657,0.013579254381867
"ENSG00000204469",22196.2326258276,0.19158839719248,0.0573809037429331,0.000415387095822217,0.00508743380531023
"ENSG00000204525",4376.51114689384,0.500145458346101,0.0731666276593514,9.53524003136127e-13,1.43266981471203e-10
"ENSG00000204569",4854.89934730356,0.639799517174,0.112711298533716,1.25501069179265e-09,9.38636440954967e-08
"ENSG00000204604",1550.81623316592,-0.399138213698059,0.137282474216032,0.000417842517365655,0.00511006822836427
"ENSG00000204611",823.466690156931,0.298919348908827,0.146454440923287,0.00799341629087399,0.0482299065409923
"ENSG00000204623",580.060429193878,0.35455729908581,0.113508293641013,0.000305483541480929,0.00400988848365138
"ENSG00000204650",2485.06973961887,-0.233963667155583,0.0914809567760274,0.00340245747367508,0.0253459736020382
"ENSG00000204681",1968.99533190143,-0.350907069861637,0.0878513189915051,1.10823110336792e-05,0.000261194860048673
"ENSG00000204852",922.321876543523,0.638693271586184,0.11735314675202,4.77402503885353e-09,3.02019899826418e-07
"ENSG00000204859",1054.40504936257,0.204510775925946,0.0845649653327631,0.00645846528538345,0.0411678234175882
"ENSG00000204899",5770.11883444976,-0.284737026299024,0.120819921306289,0.00380521144957154,0.0275415476444688
"ENSG00000204946",1131.04665037657,-0.382678042850671,0.103551201649117,3.13245701773913e-05,0.000623822327745728
"ENSG00000205002",56.2505174871427,-1.18726028833639,0.511723844136662,0.000634526109505692,0.00714712541550321
"ENSG00000206149",1121.68343446865,0.425223247453669,0.0981965821396121,2.09235441417968e-06,6.31006094656194e-05
"ENSG00000206337",185.719743411894,-0.975351025748029,0.403928796488083,0.000525099795492702,0.00612361701909299
"ENSG00000206503",1570.04135863365,0.49504254142184,0.0741860241526059,3.06280087542356e-12,4.09054072473236e-10
"ENSG00000206527",2319.84501415716,0.28592802431777,0.0637888666109031,2.0044626589689e-06,6.06674417718141e-05
"ENSG00000206538",533.972356125518,-0.424623469938636,0.226221318060299,0.00488788824198098,0.0332740223851359
