"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000105711",174.244508315254,0.560206541882303,0.171571611310305,0.000119015563351708,0.00102561928003745
"ENSG00000105722",1939.66600909541,0.298308550325797,0.134734573918081,0.00780391937950239,0.0332541180198858
"ENSG00000105723",4000.93462624406,-0.579481435525097,0.117261797952283,8.94023856852023e-08,2.09158138888846e-06
"ENSG00000105726",2205.09986094221,-0.252744428293612,0.111420542795589,0.00900643771521649,0.0372045093716911
"ENSG00000105737",269.741027153206,0.60752529135381,0.309655968181533,0.00338027979673118,0.017102383540154
"ENSG00000105771",1669.48429841317,-0.312520877400496,0.0705699013632347,3.01145808894686e-06,4.56837692680621e-05
"ENSG00000105792",242.394825140744,1.00753628176019,0.239441777284135,1.60801941085126e-06,2.65272453755851e-05
"ENSG00000105808",583.870331802849,1.1727259005699,0.172548741809082,6.57831780758093e-13,5.18751397800401e-11
"ENSG00000105821",2255.28387015633,-0.302671454844178,0.096141197952258,0.000517334957856463,0.00357661845115668
"ENSG00000105856",1097.53924128735,0.480753841135549,0.0924495268101682,3.20191283224996e-08,8.50203124325297e-07
"ENSG00000105875",782.646016898586,-0.26429443631084,0.114691445647232,0.0076581302433837,0.0327468832575323
"ENSG00000105887",12733.3223390786,-0.364382161457581,0.0602946176722868,2.70990523148533e-10,1.22717119331743e-08
"ENSG00000105928",287.595181037045,0.456197464513327,0.151114771243989,0.000373564664922409,0.00271581415854905
"ENSG00000105968",4738.63383123729,-0.293126775347786,0.0617709667835145,7.4347532632038e-07,1.34672090049815e-05
"ENSG00000105974",692.548617953008,0.325572135505595,0.112021165621924,0.000998631536441308,0.00620372290634761
"ENSG00000105983",4380.04494136416,-0.199320001910321,0.0691744540490594,0.00222427257829462,0.0120822644952197
"ENSG00000105993",5446.05130909346,0.224614700976488,0.0787828711939631,0.00215373955919995,0.0117725321886953
"ENSG00000105997",798.374060635959,-0.442495370587613,0.115310626487217,2.04952354751878e-05,0.000234496768616986
"ENSG00000106004",522.661301195977,-0.320248697588639,0.118610817477729,0.00188532366862382,0.0105383429628698
"ENSG00000106009",1227.44491141439,-0.300194636103629,0.0815665781865495,7.6976421962793e-05,0.000713055007498379
"ENSG00000106066",1444.23943678765,0.291659192883483,0.119618283320115,0.00472480457308238,0.022255483950706
"ENSG00000106078",1041.98506544464,-0.33502038979351,0.131951742255946,0.00273028608177029,0.0143371365861043
"ENSG00000106080",1203.77022660746,0.324493951372636,0.13721163099049,0.00462240312070047,0.0218632523679615
"ENSG00000106100",230.859316539939,0.315704013551816,0.163561232251434,0.012924287381519,0.0495494211326257
"ENSG00000106125",223.692364491715,-0.334452332854092,0.165538068231667,0.00957756975795992,0.0390770826766005
"ENSG00000106144",3407.41531933828,-0.298410709832749,0.0698246145982516,6.56279085741166e-06,9.00046917064065e-05
"ENSG00000106211",882.601948994366,0.706528661106543,0.115152997600421,8.09927586914587e-11,4.13019049010981e-09
"ENSG00000106258",107.614972187207,1.08101927506548,0.258788968184307,1.69074349254264e-06,2.76913937296514e-05
"ENSG00000106263",7987.00934596114,-0.191671095700195,0.0562836208804629,0.00037389540843697,0.00271660702833772
