"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072331","GO:0072331","signal transduction by p53 class mediator","69/3911","157/12961",0.439490445859873,1.45646526944255,3.78274313749342,0.000167914810971197,0.0268794854723269,0.0268794854723269,"KAT5/PLK3/DDIT4/MAPKAPK5/ZNHIT1/TAF9B/FHIT/MLF1/TFAP4/BOP1/ZNF385A/PIP4P1/EIF5A/HEXIM1/TWIST1/BAG6/USP10/AARS1/SNAI2/PLA2R1/RBM38/MYBBP1A/SPRED2/YJU2/DYRK2/CASP2/MYC/MUC1/NDRG1/PSMD10/CDK5RAP3/ATM/AURKB/TP73/GTSE1/FOXM1/TP53BP2/NBN/RPS27L/PMAIP1/EEF1E1/MTOR/CSNK2A1/KMT5A/SOX4/IFI16/SMARCA4/ATAD5/DDX5/AKT1/USP28/CD44/HINT1/PTTG1IP/SIRT1/SESN2/PRMT5/NOP2/RPL26/CDKN1A/BCL2L12/PPP1R15A/URB2/PDK2/POU4F1/PLK2/TRIAP1/MDM2/RRS1",69
"GO:0030968","GO:0030968","endoplasmic reticulum unfolded protein response","43/3911","88/12961",0.488636363636364,1.61933416238581,3.83220388555832,0.000172204042047522,0.0268794854723269,0.0268794854723269,"CTH/ATF3/PIAS2/HERPUD1/PARP6/TMTC4/HSPA5/PTPN1/CREB3L1/BAX/YOD1/BAK1/HERPUD2/AKT2/CREBRF/STUB1/DDIT3/RPAP2/CDK5RAP3/PPP1R15B/RHBDD2/XBP1/SERP1/RNF7/VCP/QRICH1/EIF2AK3/TBL2/SHISA5/TMEM33/MANF/HSPA1A/CREB3/PARP8/AKT1/TMBIM6/SIRT1/DERL1/AATF/VAPB/PPP1R15A/ERN1/UFL1",43
"GO:0030330","GO:0030330","DNA damage response, signal transduction by p53 class mediator","35/3911","68/12961",0.514705882352941,1.70572818746522,3.8356330145206,0.000188309137511284,0.0285288343329596,0.0285288343329596,"KAT5/PLK3/ZNHIT1/TFAP4/ZNF385A/TWIST1/USP10/SNAI2/PLA2R1/RBM38/SPRED2/YJU2/CASP2/MUC1/NDRG1/PSMD10/ATM/GTSE1/FOXM1/NBN/RPS27L/PMAIP1/EEF1E1/KMT5A/SOX4/DDX5/CD44/PTTG1IP/SIRT1/SESN2/RPL26/CDKN1A/PLK2/TRIAP1/MDM2",35
"GO:0070914","GO:0070914","UV-damage excision repair","10/3911","12/12961",0.833333333333333,2.76165516065797,4.01342847030167,0.000216333980945268,0.0290068335052922,0.0290068335052922,"CUL4B/XPC/DDB1/H2AC25/ACTR5/ERCC1/INO80/SIRT1/XPA/DDB2",10
"GO:1900025","GO:1900025","negative regulation of substrate adhesion-dependent cell spreading","10/3911","12/12961",0.833333333333333,2.76165516065797,4.01342847030167,0.000216333980945268,0.0290068335052922,0.0290068335052922,"DMTN/EFNA5/GBP1/ACTN4/CORO1C/SPRY4/FBLN1/RCC2/MELTF/ITGB1BP1",10
"GO:0006402","GO:0006402","mRNA catabolic process","105/3911","259/12961",0.405405405405405,1.34350791599577,3.6709012061427,0.00021753826636893,0.0290068335052922,0.0290068335052922,"RBM47/ALYREF/TRAF5/LSM11/SYNCRIP/SNRPD3/DHX34/SKIC8/SAMD4B/PNPT1/TENT2/TUT7/PDE12/AGO1/NYNRIN/ANGEL2/TIRAP/LARP1B/CNOT3/SMG7/ZC3H12A/SSB/IGF2BP1/PUM2/PAIP1/TTC5/RBM38/CASC3/LSM2/ELAVL1/YBX1/CAPRIN1/BTG2/RNH1/ALKBH5/FXR2/SNRPB/N4BP2/XRN2/FASTKD5/DDX6/KHNYN/CIRBP/LSM14B/ATM/EXOSC10/MRTO4/CSDE1/ZFP36L1/ROCK1/KHSRP/ZFP36/IGF2BP2/E2F1/CNOT7/NT5C3B/PABPC1/PIAS4/CNOT11/TOB1/APEX1/HNRNPA0/HNRNPU/LSM4/PATL1/TUT1/POLR2G/HSPA1A/DDX5/AKT1/FASTK/XRN1/NCBP1/EDC4/NRDE2/RBM33/RBM8A/THRAP3/NANOS1/SNRPG/DXO/VIM/GDNF/CNOT9/SMG9/CPSF2/LARP1/MOV10/RBM24/FUS/SLIRP/NBDY/EXOSC3/LARP4B/ERN1/HSPA1B/SMG6/PNN/CSTF2/CARHSP1/DIS3L/PRKCA/LSM7/LSM3/LSM5",105
"GO:0009896","GO:0009896","positive regulation of catabolic process","180/3911","478/12961",0.376569037656904,1.24794459142703,3.63104157347137,0.000218122885894807,0.0290068335052922,0.0290068335052922,"KAT5/NNT/PLK3/MSN/OPTN/SH3GLB1/ELAPOR1/IRGM/CSNK1A1/BCAP31/SYNCRIP/HERPUD1/SAMD4B/PNPT1/TUT7/ATG16L1/HSPA5/PDE12/SGTA/NYNRIN/TRIM65/CCNY/ZC3H18/KEAP1/NSF/CTSC/ZER1/PLK1/DAPK1/PTPN1/VGLL4/ZBTB20/SORL1/CNOT3/PIP4K2C/ZC3H12A/BAX/HSPBP1/LRP2/VPS35/IGF2BP1/TRIM8/TWIST1/BAG6/PIP4K2B/UBE2A/PUM2/VDAC1/PAIP1/CLU/AKT2/WIPI1/TTC5/CREBRF/LSM2/SLC35D3/NUPR1/ZNF268/ELAVL1/USP13/YBX1/ATP5IF1/RNF152/CAPRIN1/STUB1/CDC20/RDX/UCHL1/CDC37/ADCY10/BTG2/FBXO7/ALKBH5/PSMC2/FXR2/PSMD10/PAQR3/SIRT6/DCN/CDK5RAP3/DDX6/KHNYN/SH3D19/PACSIN3/NEAT1/SNF8/CAV1/CSDE1/ADAM9/PRKACA/TRIM13/ZFP36L1/ATG13/GSK3A/FYCO1/ROCK1/KHSRP/FZR1/NPRL3/APP/HMGB1/XBP1/ZFP36/CNOT7/STING1/USP5/ATXN3/PARK7/NT5C3B/DDB1/DVL1/DCAF1/SMCR8/PABPC1/VCP/MTOR/CNOT11/TOB1/BAD/CASP3/RAB7A/CSNK2A1/GRSF1/MLST8/PIK3CB/EGLN2/ELOB/HNRNPU/LSM4/PATL1/PSMC5/SVIP/TUT1/FBXW7/POLR2G/HSPA1A/AKT1/XRN1/PSMC3/SNX4/EDC4/CDK16/RNF41/TP53INP1/NANOS1/MYLIP/TMX1/DXO/SIRT1/RNFT2/CNOT9/FLCN/SESN2/BAG3/LARP1/FURIN/DTL/MOV10/LRRK2/RBM24/SETD2/RALB/PPP2R3A/MID2/IRGQ/HSPA1B/UFL1/HSPB8/NOD1/TRIB3/PLK2/LSM7/SESN3/MDM2/ORMDL3/L3MBTL3/LSM3/ARNT/SIRT2/LSM5",180
"GO:0071345","GO:0071345","cellular response to cytokine stimulus","182/3911","484/12961",0.37603305785124,1.24616836175145,3.62845672539338,0.000219620754553755,0.0290068335052922,0.0290068335052922,"AGPAT1/RBM47/LIMS1/ABCA1/TNFRSF21/RNF220/TRAF5/INHBB/TRIM44/IRGM/PSMA4/PSMC1/PRPF8/SYNCRIP/RPS6KB1/MAVS/ASAH2/IFIT2/AQP4/PADI2/CFL1/PNPT1/SOX9/PTPRJ/PXDN/EDA2R/CD70/PDE12/PSMB1/TNIP2/MAPK1/CAPN2/TRIM65/PSMB2/CDK5R1/GSDME/HAX1/HES1/DAPK1/PTPN1/MIB2/SORL1/GBP2/YAP1/EIF5A/PHB1/ZC3H12A/SYK/PSMD1/GBP1/TMSB4X/IL27RA/IRF7/RHOA/H2BC11/USP10/XIAP/MMP2/ADIPOR1/PSMD2/IL10RB/SNRNP70/PSMB6/SPPL2A/PSMA3/ZNF268/YY1/GPER1/PSMB4/NPNT/ACTN4/SLIT2/CDC37/DICER1/KRAS/PSMC2/JAK3/IL20RA/PELI3/AGPAT2/SIN3A/SHPK/PSMD3/PSMA6/CSF1/SLIT3/PRKACA/IRAK1/ITGA4/ZFP36L1/GSK3A/RIPK1/GAS6/CCR4/PTGIS/KHSRP/EGR1/TRIM56/TSLP/XBP1/ZFP36/PSME1/CNOT7/IL16/STING1/CXCL12/TRAF3/IL18BP/DPYSL3/ADAMTS7/BBS4/LDLRAP1/ARHGEF2/PSMB5/IL11/IFITM1/ARRB2/PSMA7/KAT2A/TRAIP/ADRM1/PIM1/IRF3/FOS/COMMD7/OSMR/HLA-DPA1/SLC12A2/PSMB7/PSMC4/LEPR/HNRNPU/RBM15/IFI16/RPS6KA5/FZD4/APPL1/PSMC5/PSMB3/CNTFR/PSMD11/HSPA1A/ADIPOR2/AKT1/ZFAND6/CD44/PSMC3/INHBA/OTUD4/UBE2K/CRLF1/CCR6/SIRT1/HYAL3/ASS1/USP25/CD24/ETV3/KIT/NR1D1/WBP1L/FAS/UBE2G2/STAT5B/SIGIRR/SAMHD1/TNFRSF13C/PTPN6/TTLL12/CSNK2B/CD47/PLP2/RNF113A/IL18R1/HSPA1B/CXCL8/NFAT5/PTPN11/FGF23/GBA1/POU4F1/CPNE1",182
"GO:0006986","GO:0006986","response to unfolded protein","60/3911","134/12961",0.447761194029851,1.4838744146819,3.70121769616165,0.00023639127458983,0.0304412863853053,0.0304412863853053,"CTH/OPTN/ATF3/PIAS2/HERPUD1/HSPA2/PARP6/TMTC4/HSPA5/HSPA1L/HSPB1/PTPN1/CREB3L1/BAX/YOD1/BAK1/HERPUD2/SERPINH1/HSP90AB1/AKT2/CREBRF/STUB1/DAXX/DDIT3/RPAP2/CDK5RAP3/CHAC1/PPP1R15B/RHBDD2/XBP1/SERP1/DNAJB1/RNF7/VCP/QRICH1/TM7SF3/HSPA6/EIF2AK3/TBL2/SHISA5/TMEM33/MANF/CREB3L2/HSPA1A/CREB3/PARP8/AKT1/TMBIM6/SIRT1/DERL1/HSPA8/BAG3/AATF/VAPB/FAF2/PPP1R15A/ERN1/HSF1/UFL1/HSPB8",60
"GO:2001234","GO:2001234","negative regulation of apoptotic signaling pathway","68/3911","156/12961",0.435897435897436,1.44455808403648,3.67217304970843,0.000249705368708,0.03137152083451,0.03137152083451,"MAPK8IP2/ASAH2/HERPUD1/EYA4/PPIF/TAF9B/FGF2/HSPB1/PEA15/ZNF385A/PTPN1/TMEM14A/CREB3L1/BAK1/GRINA/SLC35F6/ITGA6/SNAI2/CLU/FBXO7/MUC1/PELI3/PSMD10/FAIM/ZMYND11/GHITM/RIPK1/GNAI2/PRELID1/XBP1/CXCL12/PARK7/ARHGEF2/CCAR2/PSME3/CSNK2A1/PIK3CB/KLF4/MAZ/NR4A2/ATAD5/UNC5B/HSPA1A/CREB3/AKT1/TMBIM6/CD44/CTNNB1/PPIA/TMEM161A/PTTG1IP/SIRT1/GDNF/BCL2L1/OPA1/GATA4/FXN/LRRK2/EYA1/SCG2/BCL2L12/GPX1/HSPA1B/NONO/QARS1/TRIAP1/MDM2/TGFBR1",68
"GO:0140053","GO:0140053","mitochondrial gene expression","73/3911","170/12961",0.429411764705882,1.4230646592567,3.65006903405272,0.000263086425141799,0.0320889268143152,0.0320889268143152,"MRPS11/MRPL4/MTG1/TRMU/MTERF1/OSGEPL1/MRPL12/NGRN/MRPL23/MRPS5/PNPT1/MRPL35/MRPL41/MRPL11/SHMT2/ANGEL2/SLC25A33/TRUB2/MTRFR/PUS1/MRPL19/EARS2/C1QBP/MRPL37/MRPL3/MRPS18A/MRPS23/AURKAIP1/MRPL1/MRPL40/MRPL54/FASTKD5/MRPS15/MRPL27/MRPL46/RPUSD4/MRPL44/TACO1/MTRF1/MRPL38/MRPL36/PRORP/MRPS7/MRPS10/GADD45GIP1/KANSL3/RPUSD3/MRPL45/TFAM/MRPL28/MRPL20/MRPS12/MRPS24/MTG2/IARS2/TRIT1/METTL8/MRPL14/FASTK/MRPS35/HSD17B10/MRPS18B/SARS2/AARS2/MRPL47/MRPS16/TSFM/SLIRP/COA3/MRPL15/POLRMT/MRPL53/WARS2",73
"GO:0030490","GO:0030490","maturation of SSU-rRNA","35/3911","69/12961",0.507246376811594,1.68100748909616,3.72853654367143,0.000272201722374884,0.0320889268143152,0.0320889268143152,"BMS1/RIOK3/TSR2/TSR1/RRP7A/DHX37/NOL6/MPHOSPH10/RRP36/NOP14/UTP3/DCAF13/WDR43/UTP20/KRI1/UTP14A/RRP9/NOL10/NAT10/ABT1/SRFBP1/TRMT112/UTP18/SNU13/TSR3/UTP25/SLX9/EMG1/NOL11/AATF/NOP9/IMP3/FCF1/RRS1/RPP40",35
"GO:0033119","GO:0033119","negative regulation of RNA splicing","20/3911","33/12961",0.606060606060606,2.00847648047853,3.81310874949646,0.000278508326400809,0.0320889268143152,0.0320889268143152,"PTBP1/SRSF6/RPS26/PRPF8/SNRPD3/RBM20/EFTUD2/ANGEL2/C1QBP/SNRPB/SNRNP200/SNRPD2/ACIN1/AAR2/TMBIM6/SFSWAP/SNRPG/SRSF9/SNRPD1/U2AF2",20
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","182/3911","486/12961",0.374485596707819,1.24104009688827,3.56048589682831,0.000280334247067401,0.0320889268143152,0.0320889268143152,"BMS1/BRIX1/SPOUT1/SRSF6/MTG1/EIF3I/RIOK3/SNRNP25/GRWD1/TSR2/PRPF8/SYNCRIP/SNRPD3/NGRN/GEMIN7/COIL/PWP1/DDX47/PELP1/TSR1/RRP7A/AGO1/DHX37/EFTUD2/DDX27/BOP1/NOL6/NHP2/NOM1/MPHOSPH10/RRP36/RPP30/SF1/SNRNP48/ERI3/METTL25B/LUC7L3/EIF1AX/DDX18/C1QBP/RRP1B/HSP90AB1/NOP14/LSG1/UTP3/SF3A3/CUL4B/EIF3B/PA2G4/RIOX2/SNRNP70/DCAF13/GTPBP6/LSM2/EIF3C/SF3A1/GLUL/XPO1/NOP16/RPS17/EIF3CL/RBM42/MYBBP1A/YJU2/DICER1/NOLC1/WDR43/SNRPB/EBNA1BP2/ISG20L2/CELF4/XRN2/EIF2S3/EIF5/RPS19BP1/PRPF6/ATM/EXOSC10/RPUSD4/MRTO4/DKC1/DDX28/DDX23/NOL8/RPSA/UTP20/KRI1/SNRNP200/UTP14A/NDUFAB1/PRPF39/MRM3/SNRPD2/PRPF19/RRP9/CLNS1A/RCC1L/NOL10/DDX51/TARBP2/NAT10/CELF2/RPS27L/EIF3A/RAN/RPUSD3/ABT1/RBM10/RPUSD1/SNRPC/SRFBP1/DDX54/TRMT112/UTP18/GNL3L/MDN1/SNU13/RNU2-1/PIN4/POP4/EIF3H/COPRS/NSUN6/DDX1/MTG2/PPAN/URB1/EIF3G/LSM4/AAR2/ADAR/TSR3/PDCD11/UTP25/PRPF3/RRP15/CD2BP2/NCBP1/PRMT7/SFSWAP/SF3B4/SLX9/SNRPG/DDX56/EMG1/SF3B3/PRMT5/TRMT2B/EIF2S2/NOL11/NOP2/RPL26/AATF/WDR77/NOP9/EXOSC3/PES1/DENR/SUV39H1/IMP3/HTATSF1/FCF1/RUVBL1/DDX49/SRSF9/LUC7L2/URB2/PUF60/SNRPD1/TCOF1/RPS15A/XRCC5/U2AF2/LSM7/TSSC4/RRS1/DHX30/DDX21/LSM3/RPP40/NMD3/LSM5",182
"GO:0006979","GO:0006979","response to oxidative stress","130/3911","333/12961",0.39039039039039,1.29374836355148,3.56987003264516,0.000293550264495539,0.0328712480960113,0.0328712480960113,"PLK3/MEAK7/AIFM2/PSMA4/PSMC1/MT-ND3/MICB/CFL1/PRDX6/PNPT1/PPIF/GCLM/PXDN/NDOR1/PSMB1/CAPN2/PSMB2/KEAP1/MGAT3/DAPK1/CRK/ATP13A2/ZC3H12A/CAT/RHOB/PSMD1/BAK1/RBM11/GPX4/PRDX2/MMP2/PSMD2/PLA2R1/ALB/PSMB6/DHRS2/PSMA3/PSMB4/KCMF1/STAU1/SLC8A1/DHFR/RAD52/PSMC2/PAWR/SLC25A14/GPX3/PEX10/SIN3A/GSR/PSMD3/FBN1/PSMA6/ATM/TXNIP/MSRB2/MAPKAP1/BANF1/ADAM9/NQO1/ADCYAP1R1/RIPK1/GCLC/XBP1/PSME1/CRYAB/IL18BP/PARK7/GPR37/PSMB5/PSMA7/C19orf12/MT-ND1/SELENON/MT-ND5/AIFM1/ERCC2/ADRM1/CASP3/PSME3/FOS/OGG1/STAU2/PPARGC1A/TRIM25/ERCC1/PRDX1/NAPRT/PSMB7/PAM/PSMC4/KLF4/TPO/ABL2/PSMC5/PXN/PSMB3/PSMD11/HSPA1A/AKT1/MACROH2A1/PSMC3/TET1/PPP5C/PPIA/TMEM161A/SIRT1/USP25/SESN2/FXN/LRRK2/PRDX3/PARP1/SLC23A2/SRXN1/CUL1/PDGFRA/GPX1/ERN1/HSPA1B/PDK2/SOD1/PDLIM1/RGS14/PRKCA/SESN3/MDM2/SLC11A2/ARNT/SIRT2",130
"GO:0048024","GO:0048024","regulation of mRNA splicing, via spliceosome","49/3911","106/12961",0.462264150943396,1.53193701364801,3.61492442390441,0.00034456562267761,0.03710262991121,0.03710262991121,"PTBP1/RBM47/SRSF6/RBFOX2/PRPF8/SNRPD3/PRDX6/RBPMS2/RBM20/EFTUD2/ZBTB7A/RBM11/DAZAP1/C1QBP/RBM19/KHDRBS1/RBM15B/RBM23/SNRPB/HNRNPA1/CELF4/HNRNPL/SNRNP200/H1-2/SNRPD2/CLNS1A/ACIN1/CELF2/RBM39/CCNL1/HNRNPU/RBM15/AAR2/DDX5/NCBP1/SFSWAP/ARGLU1/RBM8A/THRAP3/SNRPG/PRMT5/RBM24/WDR77/NUP98/SRSF9/PUF60/SNRPD1/U2AF2/SMU1",49
"GO:1900180","GO:1900180","regulation of protein localization to nucleus","52/3911","114/12961",0.456140350877193,1.51164282478121,3.6069537261318,0.000345743784845288,0.03710262991121,0.03710262991121,"POLR1A/MAVS/PLK1/MCRS1/ATP13A2/YAP1/TMEM98/ZC3H12A/CCT2/CCT7/GLUL/RBM22/SIRT6/SIN3A/CDK5RAP3/IPO7/MDFIC/CREBBP/APP/XBP1/MEPCE/CCT6A/ZPR1/PARK7/RAN/MTOR/EIF2AK3/YWHAE/TRIM28/YWHAZ/COPS9/DMAP1/AKT1/SUMO3/TFRC/CHP1/YWHAB/LIMK2/SUFU/SESN2/ILRUN/LAMTOR5/BAG3/CDH1/PARP1/CCT5/PPP3CB/CCT3/IPO5/CACNB4/ORMDL3/NMD3",52
"GO:0000079","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","18/3911","29/12961",0.620689655172414,2.0569569472487,3.74580847383204,0.000371202082848025,0.0390216720153097,0.0390216720153097,"TFAP4/GTF2H1/CCNT2/CCNY/CDK5R1/CCNT1/CDKN3/GADD45A/HERC5/CCNG1/CDC37/PSMD10/CDK5RAP3/BCCIP/CDC25A/CCNE2/PKMYT1/CDC6",18
"GO:0090307","GO:0090307","mitotic spindle assembly","35/3911","70/12961",0.5,1.65699309639478,3.62316941019043,0.00038786572799074,0.039957927297606,0.039957927297606,"CHMP3/KIF4A/RANGRF/RAB11A/KIF3B/CHMP6/PLK1/GOLGA2/RHOA/CEP192/UHRF1/STAG1/SMC1A/SMC3/AURKB/INCENP/ARHGEF10/KIFC1/KIF23/CHMP1A/BCCIP/POLDIP2/RCC1/PIBF1/HNRNPU/LSM14A/DRG1/BIRC5/HSPA1A/KPNB1/MAP9/TPX2/CDCA8/CHMP4B/HSPA1B",35
"GO:0006352","GO:0006352","DNA-templated transcription initiation","96/3911","237/12961",0.40506329113924,1.34237415404134,3.4969178836398,0.000410070677440262,0.0405037472804771,0.0405037472804771,"POLR1A/MED16/KMT2A/BDP1/ELOA/PADI2/ZNHIT1/TAF9B/POLR2D/SPHK2/INTS11/POLR2E/GTF2H1/CDK4/INTS3/CTNNBIP1/ARMC5/MED22/MED25/TAF7/INTS7/TWIST1/MED4/FOSL1/JUN/BRF1/POLR2I/POLR3H/GLYR1/GTF3C5/PPP2CA/POLR2J/MYC/SIN3A/INTS2/TAF6L/POLR1E/TAF1C/BRD7/NME2/POLR3D/POLR3A/CCNH/EGR1/HMGB1/NCOR1/PHF2/GTF3C6/MED24/ZNF451/NCOR2/TAF13/MED29/ERCC2/TFAM/MED23/APEX1/TAF4/OGG1/TRMT112/PPARGC1A/ELOB/MED17/POLR1B/E2F2/MAZ/SMARCA4/MED6/SMARCD1/POLR2G/ARID1B/MACROH2A1/GTF3C2/TET1/WDR5/POLR2F/NCOA6/POLR2C/CTCFL/POLR1G/MED30/WBP2/POLR3K/SMARCB1/INTS5/GTF2A1/PPM1D/SGF29/POLRMT/MED20/PPP2R1A/POLR3E/POLR2L/MED1/INTS14/L3MBTL3",96
"GO:1905898","GO:1905898","positive regulation of response to endoplasmic reticulum stress","21/3911","36/12961",0.583333333333333,1.93315861246058,3.68564551352599,0.000412193267736623,0.0405037472804771,0.0405037472804771,"BCAP31/HERPUD1/SGTA/PTPN1/BAX/BAK1/BAG6/USP13/STUB1/DDIT3/CAV1/APP/XBP1/ATXN3/PMAIP1/SHISA5/TMEM33/TMX1/SIRT1/RNFT2/ERN1",21
"GO:0043029","GO:0043029","T cell homeostasis","17/3911","27/12961",0.62962962962963,2.0865838991638,3.71535946299147,0.000424617036137791,0.0405037472804771,0.0405037472804771,"PSMA4/PSMB1/PSMB2/PSMA3/SIVA1/PSMB4/PPP2CA/JAK3/PSMA6/PSMA7/PMAIP1/PSMB3/TSC22D3/AKT1/FAS/PSMB10/PPP2R1A",17
"GO:0048025","GO:0048025","negative regulation of mRNA splicing, via spliceosome","17/3911","27/12961",0.62962962962963,2.0865838991638,3.71535946299147,0.000424617036137791,0.0405037472804771,0.0405037472804771,"PTBP1/SRSF6/PRPF8/SNRPD3/RBM20/EFTUD2/C1QBP/SNRPB/SNRNP200/SNRPD2/ACIN1/AAR2/SFSWAP/SNRPG/SRSF9/SNRPD1/U2AF2",17
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","81/3911","195/12961",0.415384615384615,1.37657888008182,3.4831162092287,0.000451493719693563,0.0422844390934826,0.0422844390934826,"KAT5/H3-3A/CHMP3/UBE2C/KIF4A/RANGRF/AKAP8/RAB11A/CHAMP1/KIF3B/CHMP6/ZWILCH/PLK1/SPC24/KIF2C/GOLGA2/RHOA/SPAG5/SKA2/NUDC/CEP192/ANAPC7/CENPC/PSRC1/CDC20/NCAPH2/UHRF1/KIF22/STAG1/SMC1A/XRCC3/SMC3/ATM/TTN/AURKB/CCNB1/INCENP/KIF18B/ZW10/ARHGEF10/KIFC1/DYNLRB1/KIF23/CHMP1A/CENPI/SPC25/BCCIP/POLDIP2/RAN/TRIP13/NSL1/NCAPH/TEX14/RCC1/PIBF1/KMT5A/ESPL1/MAPRE1/HNRNPU/KNTC1/NCAPG2/USP44/LSM14A/DRG1/BIRC5/HSPA1A/KATNB1/INO80/KPNB1/SKA1/MAP9/TPX2/SIRT1/SEH1L/CDCA8/CHMP4B/NDC80/HSPA1B/BAZ1B/ZWINT/RRS1",81
"GO:0051225","GO:0051225","spindle assembly","54/3911","121/12961",0.446280991735537,1.47896904471601,3.47968345934449,0.000521972047284033,0.0480121074207152,0.0480121074207152,"CHMP3/KIF4A/RANGRF/SAC3D1/HAUS3/RAB11A/MAPK15/KIF3B/CHMP6/PLK1/GOLGA2/RHOA/SPAG5/SKA2/DCAF13/CEP192/UHRF1/STAG1/SMC1A/SMC3/AURKB/INCENP/ARHGEF10/STIL/KIFC1/KIF23/CHMP1A/NCOR1/DDB1/BCCIP/POLDIP2/RCC1/MAPRE2/PIBF1/CCDC69/NEK7/MAPRE1/HNRNPU/RNF4/LSM14A/DRG1/BIRC5/HSPA1A/INO80/KPNB1/SKA1/MAP9/TPX2/CDCA8/CHMP4B/NDC80/CEP63/HSPA1B/PPP2R1A",54
"GO:0051988","GO:0051988","regulation of attachment of spindle microtubules to kinetochore","15/3911","23/12961",0.652173913043478,2.16129534312363,3.66433480978464,0.000540818941654453,0.0488729538326682,0.0488729538326682,"KAT5/ZWILCH/SPAG5/AURKB/CCNB1/INCENP/ZW10/CDC42/HNRNPU/KNTC1/BIRC5/SIRT1/RCC2/CDCA8/SIRT2",15
